Country Name;Air Pollution;Energía renovable;Forest Area;Energía Fosil
Timor-Leste;20.45010047;18.42248837;46.88634917;
Middle East & North Africa (IDA & IBRD countries);49.41244326;2.527598481;2.513691904;97.94704973
Tonga;12.05763996;1.697629309;12.5;
South Asia (IDA & IBRD);83.06717057;38.99754223;17.44890875;71.52352351
Sub-Saharan Africa (IDA & IBRD countries);37.20808578;70.2864319;27.80670086;39.78936584
Trinidad and Tobago;24.85584226;0.280380128;45.39181298;99.91950642
Tunisia;34.69205883;12.93362971;6.634912776;88.8703881
Turkey;42.59577121;11.60788754;15.08854854;89.5439509
Tuvalu;;0;33.33333333;
Tanzania;28.87371592;86.67360332;52.41815308;14.38061695
Uganda;46.93056685;90.22213006;11.03231573;
Ukraine;20.48689522;3.499746218;16.63277494;75.34950578
Upper middle income;42.9799373;13.14807208;34.58735831;87.02767347
Uruguay;9.926816159;55.39133872;10.41172443;46.27030789
United States;8.220720319;8.754308954;33.86965942;83.08904242
Uzbekistan;28.9000361;2.896783513;7.595251574;
St. Vincent and the Grenadines;23.03093206;5.800947299;69.23076923;
Venezuela, RB;19.10406153;12.3158343;53.11195333;
British Virgin Islands;;1.216805188;24.13333257;
Virgin Islands (U.S.);11.1658167;2.755002508;50.59999738;
Vietnam;34.89601505;37.03547263;47.22804528;
Vanuatu;11.93385168;32.14283066;36.09515997;
World;45.93996796;17.87018404;30.76956804;80.91140772
Samoa;12.64355999;42.33507744;60.42402827;
Kosovo;;21.4611559;;86.121582
Yemen, Rep.;48.33865267;0.974200975;1.039831809;
South Africa;26.72221238;16.5881622;7.617736524;86.79143169
Zambia;28.49325189;88.03403729;65.64737428;
Zimbabwe;22.80594966;81.0492915;37.15755562;
