Country Name,Air Pollution,energía_renovable,energia_fosil,crec pib,emisiones de co2,Manufacturas,forest,livestock index,crecimiento poblacional,crop production
Dominican Republic,141880737,18.0190203,86.563596,7.05046369,21539.958,2.90E+11,40.3601749,113.06,1.15720555,156.79
Algeria,3556391718,0.06864048,99.9779167,3.8,145400.217,1.31E+12,0.8180574,144.88,2.03359245,141.64
East Asia & Pacific (excluding high income),4812064176,15.8526129,85.4995945,6.75931064,11688627.3,NA,29.73632,129.29035,0.73060228,134.889296
Early-demographic dividend,5999596877,25.6079937,79.5018901,4.00612989,7079254.55,NA,21.9999111,133.133291,1.40445296,133.368885
East Asia & Pacific,4484952702,13.7534421,86.396153,4.14168331,14272114.7,NA,26.3009299,125.338296,0.68539076,133.071043
Europe & Central Asia (excluding high income),2427557194,6.15118411,89.3967812,2.24081438,3029861.39,NA,38.8889279,123.696925,0.61606563,125.03919
Europe & Central Asia,1839049124,12.6175816,78.3798151,1.83185908,6245991.86,NA,38.0204615,109.278064,0.48554168,112.306175
Ecuador,1623418751,12.2181395,86.8846604,3.78886855,43919.659,8803002000,50.8399515,128.63,1.54374077,114.41
"Egypt, Arab Rep.",7655960126,5.86604491,97.9289298,2.91591188,201894.019,5.39E+11,0.07273093,129.76,2.25924945,116.51
Euro area,1322454571,16.0443469,69.4166049,1.40101623,2191542.21,NA,38.1630357,103.117894,0.34513333,99.7623395
Eritrea,4437494629,79.9301497,23.1334477,NA,696.73,NA,14.9940596,124.32,NA,75.67
Spain,1007458883,17.3517358,71.5311218,1.38390794,233976.602,1.16E+11,36.7520446,101.63,-0.29895106,101.86
Estonia,7705552572,25.3260591,14.4902911,2.98732582,19519.441,2802182500,51.3549552,127.87,-0.26225618,172.43
Ethiopia,3504359745,92.0676519,6.56980663,10.257493,11598.721,6.14E+10,12.4584004,117.24,2.79992186,181.65
European Union,1381144457,16.2201386,71.1703988,1.73895916,3241844.35,NA,37.9139175,102.211372,0.31507427,103.351904
Fragile and conflict affected situations,4010985565,51.7335765,57.5783553,1.09020852,422731.856,NA,27.47889,106.356302,2.30761023,120.452116
Finland,6468639868,41.2352406,42.1825268,-0.3649403,47300.633,3.09E+10,73.1119813,99.77,0.41356021,103.98
Fiji,1192289283,34.5718209,NA,5.60351489,1169.773,976666071,55.4099632,109.63,0.09757163,78.86
France,1228970307,13.3470246,46.2259231,0.95618305,303275.568,2.28E+11,30.820536,103.27,0.47978554,103.55
Faroe Islands,NA,6.5358151,NA,NA,597.721,NA,0.05730659,100.17,0.14188543,112.89
"Micronesia, Fed. Sts.",1186686885,1.15799036,NA,-2.3057786,150.347,796884.11,91.7714255,100.93,1.42476587,116.62
Gabon,4131956969,81.3516097,22.7865163,4.31496444,5192.472,6.90E+11,88.4852719,111.25,3.60651494,124.48
United Kingdom,1080055978,7.39522046,82.7165785,2.60747591,419820.162,1.78E+11,12.9252263,106.57,0.7533495,112.3
Georgia,2296670742,31.8929763,72.2095353,4.4,8987.817,2920661521,40.6159146,71.93,0.0469539,80.78
Ghana,258895233,45.0494921,52.5430601,2.89743884,14466.315,1.42E+10,40.9097284,132.51,2.29178069,151.66
Gibraltar,NA,0,99.5128172,NA,528.048,NA,0,NA,0.09789816,NA
Guinea,2119667275,78.5178753,NA,3.69654118,2449.556,5.01E+12,26.0459059,132.57,2.34241788,128.2
"Gambia, The",3062189539,51.9307948,NA,-1.4073825,513.38,2865917800,48.0632405,108.69,3.02604518,80.17
Guinea-Bissau,2694095978,87.0600171,NA,0.96456075,271.358,4.76E+10,70.4836415,127.12,2.64523179,140.22
Equatorial Guinea,4430179969,7.6432749,NA,0.4150663,5346.486,1.59E+12,56.3137246,104.76,4.17245491,114.72
Greece,1736504185,16.0857927,86.0493172,0.73977714,67318.786,1.59E+10,31.2164472,95.8,-0.66611329,87.16
Grenada,2428703113,11.0768146,NA,7.34407652,242.022,60112100,49.9705876,107.17,0.67443316,144.14
Greenland,1251054773,14.900476,NA,4.74213567,506.046,1233400000,0.000536,97.85,-0.33339867,NA
Guatemala,2652785542,59.9010023,37.378597,4.17416914,18327.666,4.09E+10,33.3743925,123.09,2.07768719,159.13
Guam,1202255289,0,NA,1.73330707,NA,NA,46.2962963,113.56,0.37894036,85.29
Guyana,2364826569,24.0152013,NA,3.89824321,2009.516,2.72E+10,84.003048,142.03,0.53787404,120.93
High income,1498694811,11.0149873,81.1567011,2.02610192,12939717.4,NA,28.9028205,105.318842,0.60722582,109.34485
"Hong Kong SAR, China",NA,0.85814192,93.1728816,2.76239642,46222.535,2.77E+10,NA,50.39,0.70237095,102.31
Honduras,2316154008,54.0409418,52.4793125,3.05808056,9471.861,3.58E+10,42.1127893,108.88,1.76941675,123.82
