Country Name,Air Pollution,energía_renovable,energia_fosil,crec pib,emisiones de co2,Manufacturas,forest
Isle of Man,NA,3.81270707,NA,5.0000008,NA,123587000,6.07017551
India,8962238269,36.6518379,73.5769791,7.41022761,2238377.14,1.68E+13,23.7131167
Not classified,NA,NA,NA,NA,NA,NA,NA
Ireland,8750521533,8.52066979,84.4375872,8.55668799,34066.43,4.74E+10,10.8628252
"Iran, Islamic Rep.",3810949306,0.93911965,99.0225805,4.60341888,649480.705,7.66E+14,6.56449107
Iraq,5656703027,0.91210465,95.9841768,0.7,168443.645,2.02E+12,1.90036115
Iceland,6948896646,76.338871,10.9284873,2.0802872,1983.847,2.20E+11,0.4778055
Israel,2205914688,3.68013235,91.7496361,3.75820019,64601.539,1.51E+11,7.5231055
Italy,1776927084,17.0903588,78.5864226,-0.0045475,320411.459,2.32E+11,31.4244924
Jamaica,1407433169,16.1167899,80.9713448,0.69147811,7422.008,6.19E+10,30.9861483
Jordan,3320542058,3.13055186,97.6084467,3.09633035,26450.071,5199500000,1.09822032
Japan,1258661692,5.62502589,94.4074689,0.37471948,1214048.36,1.06E+14,68.4649978
Kazakhstan,1374975351,1.30565512,99.1739073,4.2,248314.572,1.32E+12,1.22569174
Kenya,2894935013,75.5181686,17.3795726,5.35712564,14286.632,4.13E+11,7.68949626
Kyrgyz Republic,2329819153,26.608307,75.476219,4,9607.54,2901847670,3.362878
Cambodia,2858336628,68.0079101,30.6290814,7.1425711,6684.941,9.04E+12,54.2963992
Kiribati,1139374232,3.46502445,NA,-0.6978281,62.339,6301300,14.9999995
St. Kitts and Nevis,NA,1.69740281,NA,6.28480424,231.021,92820000,42.3076923
"Korea, Rep.",2721311037,2.83819151,82.3950038,3.34144776,587156.373,4.11E+14,63.5492158
Kuwait,5562390422,0,93.6898895,0.50113266,95408.006,2382000000,0.35072952
Latin America & Caribbean (excluding high income),1838906978,27.3169657,72.7642902,0.96474041,1734047.29,NA,47.5413245
Lao PDR,2839017177,60.4741412,NA,7.61196344,1954.511,8.33E+12,80.4689785
Lebanon,3044456692,3.23351915,97.6211011,1.88428566,24070.188,4.45E+12,13.4134899
Liberia,1494227071,83.9355343,NA,0.70114391,935.085,31022900,43.6980897
Libya,4750123391,1.75392908,99.1112964,-24,56996.181,NA,0.12332769
St. Lucia,2423630259,2.14586618,NA,1.33884906,407.037,158481700,33.3770502
Latin America & Caribbean,1839993651,27.082993,73.3463372,1.00102316,1912531.5,NA,46.3804431
Least developed countries: UN classification,444218263,73.4133848,28.2241049,5.43862426,293488.706,NA,29.3887037
Low income,4004779592,76.2227212,21.1340481,5.78270499,196277.45,NA,25.4448239
Liechtenstein,NA,62.5920263,NA,NA,44.004,NA,43.1250006
Sri Lanka,2692277652,57.5851811,50.545574,4.96070059,18393.672,1.30E+12,33.1143374
Lower middle income,6265168718,40.3659338,66.1653241,5.65762858,4184823.35,NA,29.0391091
Low & middle income,519354768,22.8240268,80.727598,4.41915792,21213767.3,NA,32.0215902
Lesotho,3308010261,51.3888985,NA,2.81728949,2467.891,2130059765,1.58102767
Late-demographic dividend,45022155,14.0706825,86.1823331,4.58948643,15089660.9,NA,39.0015971
Lithuania,1284519425,27.7050525,67.9937495,3.50797122,12838.167,6235132100,34.764565
Luxembourg,1085761339,6.88323194,83.3317527,4.29678635,9658.878,2104516600,35.6790111
Latvia,148790851,40.2360616,56.7174276,1.91519038,6974.634,2520966000,53.965907
"Macao SAR, China",NA,10.0204706,NA,-1.2010897,1283.45,1965000000,NA
St. Martin (French part),NA,NA,NA,NA,NA,NA,18.3823529
Morocco,2994944999,11.7185873,88.4688628,2.66949393,59863.775,1.24E+11,12.6372395
Monaco,NA,NA,NA,7.2,NA,NA,NA
Moldova,1672646105,13.04735,88.6880222,4.99962558,4932.115,1.16E+10,12.3030117
Madagascar,2351776666,72.0265271,NA,3.33920311,3076.613,1.44E+12,21.4661396
Maldives,9921230863,0.9030324,NA,7.3296262,1334.788,1128789700,3.33333333
Middle East & North Africa,5052272979,1.60152504,97.3590212,2.89734756,2593273.89,NA,2.06581594
Mexico,2309968975,9.75846242,90.27849,2.80434013,480270.657,2.68E+12,34.0191885
Marshall Islands,1107022018,12.0189983,NA,-0.9399653,102.676,10287600,70.2222241
Middle income,5332300771,20.704621,82.0962696,4.40018255,21011743.3,NA,33.1646255
