Country Name,Air Pollution,energía_renovable,energia_fosil,crec pib,emisiones de co2,Manufacturas
Sierra Leone,1769823222,73.0542862,NA,4.55677237,1309.119,1.74E+11
El Salvador,2750259084,28.2654431,48.4295873,1.71070994,6285.238,3632000000
San Marino,NA,NA,NA,-0.9,NA,NA
Somalia,3040108067,94.4269497,NA,NA,608.722,NA
Serbia,2649207255,23.4292907,83.8712616,-1.5895091,37667.424,5.15E+11
Sub-Saharan Africa (excluding high income),3720962214,70.3029393,39.7893658,4.65903757,822325.722,NA
South Sudan,4190056033,29.8296333,72.2226348,3.37364828,1496.136,479532659
Sub-Saharan Africa,3720808578,70.2864319,39.7893658,4.65892656,822819.034,NA
Small states,2886819795,23.9649569,84.6471313,2.5383758,282558.272,NA
Sao Tome and Principe,2786230189,41.8094377,NA,6.5499331,113.677,232291176
Suriname,2599884713,25.3825364,76.2534958,0.25550314,1991.181,1706000000
Slovak Republic,1830418161,12.2427515,63.9460954,2.75243433,30678.122,1.39E+10
Slovenia,1663270074,22.3004866,59.6632067,2.76815802,12812.498,7534760100
Sweden,6959197681,49.6934147,29.7747473,2.74728772,43420.947,5.49E+11
Eswatini,1797877739,67.6940886,NA,0.91319647,1202.776,1.22E+10
Sint Maarten (Dutch part),NA,0.04795951,NA,1.58038464,733.4,NA
Seychelles,2097051747,1.29853764,NA,4.50478524,495.045,475267400
Syrian Arab Republic,4153448066,2.35322956,97.7917814,NA,30703.791,NA
Turks and Caicos Islands,NA,0.57683143,NA,6.70368436,205.352,5644472.06
Chad,5124716851,89.2400627,NA,6.89998505,729.733,7.32E+10
East Asia & Pacific (IDA & IBRD countries),4828311394,15.8321577,85.5776036,6.75958177,11648078.8,NA
Europe & Central Asia (IDA & IBRD countries),2404547776,6.80252904,89.3287471,2.34316859,3331985,NA
Togo,2893629146,72.1615066,17.800633,5.92058857,2621.905,2.31E+11
Thailand,2936464114,24.095726,79.8390227,0.98441406,316212.744,2.65E+12
Tajikistan,4648082923,45.7563924,45.9841419,6.70596817,5188.805,NA
Turkmenistan,2208490686,0.04126166,NA,10.3,68422.553,NA
Latin America & the Caribbean (IDA & IBRD countries),1839823316,27.3496512,73.1612716,1.03930561,1844357.99,NA
Timor-Leste,2045010047,18.4224884,NA,-25.907172,469.376,11381600
Middle East & North Africa (IDA & IBRD countries),4941244326,2.52759848,97.9470497,2.11285025,1415553.68,NA
Tonga,1205763996,1.69762931,NA,2.07260726,121.011,47700000
South Asia (IDA & IBRD),8306717057,38.9975422,71.5235235,6.99260221,2516434.75,NA
